,Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
57,Mexico,Liga MX,2012/2013,01/09/2012,23:00,Queretaro,Atlante,0,1,A,3.58,3.62,2.12,3.58,3.62,2.2,3.28,3.29,2.1
58,Mexico,Liga MX,2012/2013,02/09/2012,01:00,Monterrey,Atlas,1,1,D,1.61,4.32,5.82,1.63,4.32,6.4,1.56,3.78,5.62
59,Mexico,Liga MX,2012/2013,02/09/2012,01:00,Santos Laguna,U.A.N.L.- Tigres,3,1,H,2.94,3.36,2.59,2.94,3.36,2.9,2.57,3.17,2.64
60,Mexico,Liga MX,2012/2013,02/09/2012,03:00,Atl. San Luis,Club Leon,0,2,A,3.3,3.65,2.23,3.4,3.74,2.35,3.06,3.27,2.21
61,Mexico,Liga MX,2012/2013,02/09/2012,18:00,Toluca,Club America,1,1,D,2.46,3.55,2.97,2.52,3.55,3.2,2.34,3.22,2.88
62,Mexico,Liga MX,2012/2013,02/09/2012,23:00,Guadalajara Chivas,Puebla,1,1,D,1.81,3.73,4.86,1.9,3.73,5.0,1.82,3.37,4.18
63,Mexico,Liga MX,2012/2013,15/09/2012,01:30,Chiapas,Toluca,2,0,H,2.54,3.38,2.96,2.85,3.45,2.96,2.57,3.2,2.62
64,Mexico,Liga MX,2012/2013,15/09/2012,01:30,Pachuca,Monarcas,3,2,H,2.44,3.32,3.18,2.5,3.5,3.2,2.36,3.13,2.93
65,Mexico,Liga MX,2012/2013,15/09/2012,03:30,Club Leon,Guadalajara Chivas,1,2,A,1.63,4.08,5.97,1.83,4.08,6.0,1.67,3.61,4.84
66,Mexico,Liga MX,2012/2013,15/09/2012,23:00,Club America,Santos Laguna,2,0,H,1.82,4.04,4.34,2.04,4.04,4.34,1.84,3.58,3.86
67,Mexico,Liga MX,2012/2013,16/09/2012,01:00,U.A.N.L.- Tigres,Cruz Azul,2,0,H,2.18,3.51,3.55,2.2,3.51,4.0,2.05,3.23,3.49
68,Mexico,Liga MX,2012/2013,16/09/2012,03:00,Atlas,Queretaro,0,0,D,1.6,4.01,6.59,1.65,4.2,6.59,1.58,3.64,5.62
69,Mexico,Liga MX,2012/2013,16/09/2012,18:00,Puebla,Monterrey,2,3,A,4.04,3.45,2.04,4.04,3.46,2.2,3.41,3.24,2.07
70,Mexico,Liga MX,2012/2013,16/09/2012,18:00,U.N.A.M.- Pumas,Atl. San Luis,0,1,A,1.82,3.74,4.82,1.83,3.74,5.5,1.74,3.46,4.55
71,Mexico,Liga MX,2012/2013,17/09/2012,00:00,Atlante,Club Tijuana,1,2,A,2.17,3.36,3.75,2.29,3.4,3.75,2.16,3.17,3.25
72,Mexico,Liga MX,2012/2013,22/09/2012,01:30,Puebla,Club Leon,1,1,D,3.67,3.5,2.14,4.2,3.7,2.2,3.55,3.3,2.0
73,Mexico,Liga MX,2012/2013,22/09/2012,03:30,Monarcas,U.A.N.L.- Tigres,1,1,D,2.4,3.31,3.26,3.07,3.45,3.26,2.63,3.15,2.63
74,Mexico,Liga MX,2012/2013,22/09/2012,23:00,Cruz Azul,Club America,1,1,D,2.46,3.44,3.05,2.5,3.44,3.05,2.34,3.2,2.9
75,Mexico,Liga MX,2012/2013,23/09/2012,01:00,Atl. San Luis,Pachuca,1,0,H,2.74,3.26,2.83,2.75,3.3,2.83,2.6,3.13,2.62
76,Mexico,Liga MX,2012/2013,23/09/2012,01:00,Monterrey,Queretaro,3,2,H,1.38,5.22,9.0,1.38,5.22,12.0,1.34,4.58,8.52
77,Mexico,Liga MX,2012/2013,23/09/2012,01:00,Santos Laguna,Chiapas,0,0,D,2.0,3.79,3.79,2.02,3.79,4.75,1.83,3.54,3.94
78,Mexico,Liga MX,2012/2013,23/09/2012,03:30,Club Tijuana,Atlas,1,1,D,1.81,3.72,4.91,1.9,3.8,5.09,1.81,3.41,4.25
79,Mexico,Liga MX,2012/2013,23/09/2012,18:00,Toluca,Atlante,1,0,H,1.93,3.58,4.41,1.95,3.58,4.55,1.87,3.37,3.99
80,Mexico,Liga MX,2012/2013,23/09/2012,23:00,Guadalajara Chivas,U.N.A.M.- Pumas,0,0,D,2.45,3.2,3.28,2.5,3.3,3.3,2.36,3.03,3.03
81,Mexico,Liga MX,2012/2013,29/09/2012,01:30,Chiapas,Cruz Azul,1,0,H,3.31,3.42,2.31,3.31,3.42,2.54,2.87,3.14,2.38
82,Mexico,Liga MX,2012/2013,29/09/2012,03:30,Club Leon,Monterrey,2,0,H,1.96,3.63,4.17,2.15,3.63,4.34,2.03,3.27,3.54
83,Mexico,Liga MX,2012/2013,29/09/2012,23:00,Club America,Monarcas,1,1,D,2.27,3.45,3.4,2.27,3.51,4.0,2.06,3.25,3.46
84,Mexico,Liga MX,2012/2013,29/09/2012,23:00,Queretaro,Club Tijuana,0,1,A,3.2,3.32,2.43,3.7,3.35,2.43,3.27,3.11,2.2
85,Mexico,Liga MX,2012/2013,30/09/2012,01:00,Pachuca,Guadalajara Chivas,1,0,H,2.22,3.29,3.66,2.31,3.3,3.66,2.21,3.12,3.21
86,Mexico,Liga MX,2012/2013,30/09/2012,01:00,U.A.N.L.- Tigres,Atl. San Luis,0,0,D,1.52,4.21,7.64,1.54,4.3,8.19,1.48,3.83,6.76
87,Mexico,Liga MX,2012/2013,30/09/2012,03:00,Atlas,Toluca,1,3,A,2.91,3.22,2.7,2.91,3.3,2.8,2.64,3.08,2.61
88,Mexico,Liga MX,2012/2013,30/09/2012,18:00,U.N.A.M.- Pumas,Puebla,2,1,H,1.85,3.68,4.62,1.91,3.68,4.65,1.83,3.35,4.21
89,Mexico,Liga MX,2012/2013,01/10/2012,00:00,Atlante,Santos Laguna,1,3,A,2.63,3.62,2.71,2.77,3.7,2.8,2.5,3.22,2.67
90,Mexico,Liga MX,2012/2013,03/10/2012,01:00,Guadalajara Chivas,U.A.N.L.- Tigres,2,1,H,3.15,3.28,2.48,3.3,3.35,2.6,2.92,3.1,2.4
91,Mexico,Liga MX,2012/2013,03/10/2012,02:30,Atl. San Luis,Club America,1,2,A,3.83,3.47,2.11,3.83,3.5,2.4,3.19,3.26,2.18
92,Mexico,Liga MX,2012/2013,04/10/2012,01:00,Cruz Azul,Atlante,4,0,H,1.7,3.75,5.82,1.77,3.75,5.82,1.67,3.55,4.95
93,Mexico,Liga MX,2012/2013,04/10/2012,01:00,Puebla,Pachuca,2,0,H,3.14,3.24,2.5,3.14,3.3,2.6,2.8,3.15,2.43
94,Mexico,Liga MX,2012/2013,04/10/2012,01:00,Toluca,Queretaro,4,1,H,1.4,4.84,9.4,1.4,5.5,11.0,1.37,4.47,7.96
95,Mexico,Liga MX,2012/2013,04/10/2012,02:00,Santos Laguna,Atlas,2,1,H,1.9,3.63,4.49,1.95,3.63,4.84,1.8,3.45,4.24
96,Mexico,Liga MX,2012/2013,04/10/2012,02:30,Club Leon,U.N.A.M.- Pumas,2,1,H,1.61,3.98,6.53,1.7,4.0,6.53,1.64,3.67,5.06
97,Mexico,Liga MX,2012/2013,04/10/2012,03:00,Monterrey,Club Tijuana,1,1,D,2.0,3.44,4.21,2.04,3.6,4.33,1.89,3.34,3.95
98,Mexico,Liga MX,2012/2013,05/10/2012,02:00,Monarcas,Chiapas,1,1,D,1.82,3.77,4.75,2.0,3.77,5.3,1.81,3.46,4.16
99,Mexico,Liga MX,2012/2013,06/10/2012,23:00,Club America,Guadalajara Chivas,1,3,A,1.87,3.57,4.72,1.96,3.6,4.72,1.87,3.37,3.95
100,Mexico,Liga MX,2012/2013,07/10/2012,01:00,Pachuca,Club Leon,1,1,D,2.75,3.4,2.72,2.75,3.5,2.75,2.56,3.2,2.6
101,Mexico,Liga MX,2012/2013,07/10/2012,01:00,Queretaro,Santos Laguna,1,1,D,3.89,3.59,2.04,4.59,3.7,2.04,3.6,3.34,1.96
102,Mexico,Liga MX,2012/2013,07/10/2012,01:00,U.A.N.L.- Tigres,Puebla,1,2,A,1.47,4.65,7.83,1.55,4.65,7.9,1.48,3.94,6.41
103,Mexico,Liga MX,2012/2013,07/10/2012,03:00,Atlas,Cruz Azul,1,1,D,3.56,3.33,2.25,3.56,3.33,2.75,3.04,3.13,2.3
104,Mexico,Liga MX,2012/2013,07/10/2012,18:00,U.N.A.M.- Pumas,Monterrey,3,2,H,2.33,3.27,3.42,2.4,3.35,3.42,2.3,3.14,2.99
105,Mexico,Liga MX,2012/2013,07/10/2012,23:00,Chiapas,Atl. San Luis,4,0,H,1.97,3.65,4.09,2.02,3.65,4.15,1.95,3.38,3.65
106,Mexico,Liga MX,2012/2013,08/10/2012,00:00,Atlante,Monarcas,2,2,D,3.3,3.28,2.41,3.3,3.4,2.41,3.04,3.16,2.27
107,Mexico,Liga MX,2012/2013,08/10/2012,02:00,Club Tijuana,Toluca,1,0,H,2.29,3.4,3.39,2.35,3.45,3.6,2.23,3.23,3.08
108,Mexico,Liga MX,2012/2013,13/10/2012,23:00,Cruz Azul,Queretaro,3,2,H,1.34,5.08,10.42,1.4,5.5,11.0,1.33,4.64,8.74
109,Mexico,Liga MX,2012/2013,14/10/2012,01:00,Atl. San Luis,Atlante,2,2,D,2.7,3.27,2.86,2.71,3.35,2.94,2.51,3.13,2.73
110,Mexico,Liga MX,2012/2013,14/10/2012,01:00,Club Leon,U.A.N.L.- Tigres,2,0,H,1.78,3.73,5.11,1.81,3.8,5.6,1.73,3.48,4.57
111,Mexico,Liga MX,2012/2013,14/10/2012,01:00,Santos Laguna,Club Tijuana,2,2,D,2.47,3.48,3.0,2.47,3.5,3.35,2.25,3.26,3.04
