,Date,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA
98,01/04/2018,1.0,3.0,A,Chelsea,Tottenham,2.43,3.4,3.18,2.3,3.43,3.4
99,01/04/2019,2.0,0.0,H,Arsenal,Newcastle,1.39,5.29,8.57,1.46,4.66,8.19
100,01/05/17,0.0,1.0,A,Watford,Liverpool,6.61,4.4,1.53,5.96,4.16,1.63
101,01/05/2016,3.0,1.0,H,Swansea,Liverpool,3.15,3.56,2.37,3.57,3.63,2.15
102,01/05/2016,4.0,2.0,H,Southampton,Man City,2.73,3.44,2.75,2.42,3.56,3.06
103,01/05/2016,1.0,1.0,D,Man United,Leicester,2.07,3.45,4.04,2.0,3.49,4.28
104,01/05/2021,0.0,2.0,A,Crystal Palace,Man City,10.77,5.18,1.35,9.44,5.58,1.34
105,01/05/2021,2.0,0.0,H,Brighton,Leeds,2.19,3.52,3.54,2.09,3.54,3.82
106,01/05/2021,2.0,0.0,H,Chelsea,Fulham,1.49,4.36,8.0,1.49,4.26,8.34
107,01/05/2021,1.0,2.0,A,Everton,Aston Villa,2.07,3.7,3.72,1.99,3.84,3.84
108,01/05/2022,3.0,1.0,H,Tottenham,Leicester,1.45,4.99,7.29,1.38,5.32,9.05
109,01/05/2022,1.0,0.0,H,Everton,Chelsea,4.98,3.77,1.79,5.21,3.94,1.73
110,01/05/2022,1.0,2.0,A,West Ham,Arsenal,4.68,3.92,1.8,4.57,3.92,1.83
111,01/07/2020,1.0,4.0,A,Bournemouth,Newcastle,2.47,3.23,3.25,2.2,3.22,3.88
112,01/07/2020,2.0,1.0,H,Everton,Leicester,2.59,3.36,2.96,2.64,3.25,2.99
113,01/07/2020,3.0,2.0,H,West Ham,Chelsea,5.71,4.41,1.61,7.15,4.78,1.48
114,01/07/2020,4.0,0.0,H,Arsenal,Norwich,1.46,4.85,7.42,1.47,4.89,7.05
115,01/09/12,2.0,2.0,D,Swansea,Sunderland,2.17,3.47,3.67,2.04,3.47,4.07
116,01/09/12,3.0,1.0,H,Man City,QPR,1.22,7.65,15.0,1.18,8.19,19.39
117,01/09/12,1.0,1.0,D,Tottenham,Norwich,1.38,5.35,9.0,1.35,5.46,10.48
118,01/09/12,2.0,0.0,H,West Brom,Everton,3.06,3.38,2.52,3.25,3.39,2.39
119,01/09/12,2.0,2.0,D,Wigan,Stoke,2.26,3.35,3.57,2.15,3.28,4.0
120,01/09/12,3.0,0.0,H,West Ham,Fulham,2.53,3.48,2.96,2.74,3.41,2.77
121,01/09/13,0.0,2.0,A,West Brom,Swansea,2.67,3.47,2.8,2.72,3.37,2.81
122,01/09/13,1.0,0.0,H,Liverpool,Man United,2.59,3.36,2.98,2.38,3.09,3.62
123,01/09/13,1.0,0.0,H,Arsenal,Tottenham,2.15,3.7,3.52,2.18,3.35,3.79
124,01/09/2018,2.0,1.0,H,Man City,Newcastle,1.12,10.57,27.95,1.12,10.43,29.28
125,01/09/2018,1.0,2.0,A,Leicester,Liverpool,7.5,4.96,1.45,8.17,4.75,1.45
126,01/09/2018,1.0,1.0,D,Everton,Huddersfield,1.5,4.3,8.06,1.57,3.96,7.47
127,01/09/2018,0.0,1.0,A,West Ham,Wolves,2.58,3.44,2.91,2.6,3.26,3.02
128,01/09/2018,0.0,2.0,A,Crystal Palace,Southampton,1.95,3.5,4.47,2.58,3.18,3.11
129,01/09/2018,2.0,0.0,H,Chelsea,Bournemouth,1.3,6.3,10.73,1.32,5.98,10.48
130,01/09/2018,2.0,2.0,D,Brighton,Fulham,2.24,3.45,3.47,2.17,3.52,3.61
131,01/09/2019,2.0,2.0,D,Arsenal,Tottenham,2.38,3.67,3.0,2.59,3.7,2.72
132,01/09/2019,3.0,2.0,H,Everton,Wolves,2.17,3.36,3.71,2.08,3.29,4.19
133,01/09/2022,0.0,1.0,A,Leicester,Man United,3.45,3.86,2.11,3.2,3.76,2.25
134,01/10/12,1.0,2.0,A,QPR,West Ham,2.17,3.45,3.71,2.41,3.52,3.1
135,01/10/16,1.0,1.0,D,Sunderland,West Brom,2.47,3.24,3.26,2.54,3.17,3.21
136,01/10/16,1.0,2.0,A,Swansea,Liverpool,8.44,4.92,1.43,7.3,5.04,1.46
137,01/10/16,2.0,2.0,D,Watford,Bournemouth,2.42,3.32,3.27,2.51,3.33,3.11
138,01/10/16,1.0,1.0,D,West Ham,Middlesbrough,2.23,3.35,3.66,2.0,3.52,4.26
139,01/10/16,0.0,2.0,A,Hull,Chelsea,7.68,4.63,1.48,7.5,4.9,1.46
140,01/10/2017,1.0,1.0,D,Newcastle,Liverpool,5.09,4.17,1.71,5.02,4.14,1.72
141,01/10/2017,2.0,0.0,H,Arsenal,Brighton,1.27,6.65,12.35,1.26,6.65,13.5
142,01/10/2017,0.0,1.0,A,Everton,Burnley,1.68,3.81,6.2,1.71,3.77,5.75
143,01/10/2018,2.0,1.0,H,Bournemouth,Crystal Palace,2.3,3.52,3.33,2.33,3.52,3.27
144,01/10/2022,3.0,3.0,D,Liverpool,Brighton,1.38,5.49,8.42,1.49,4.76,6.85
145,01/10/2022,1.0,4.0,A,Fulham,Newcastle,3.11,3.57,2.38,2.95,3.42,2.51
146,01/10/2022,1.0,2.0,A,Crystal Palace,Chelsea,4.42,3.56,1.93,4.83,3.78,1.79
147,01/10/2022,0.0,0.0,D,Bournemouth,Brentford,3.45,3.49,2.25,3.3,3.53,2.27
148,01/10/2022,3.0,1.0,H,Arsenal,Tottenham,2.13,3.65,3.57,1.99,3.75,3.84
149,01/10/2022,1.0,2.0,A,Southampton,Everton,2.23,3.48,3.49,2.38,3.32,3.23
150,01/10/2022,2.0,0.0,H,West Ham,Wolves,2.01,3.42,4.31,2.07,3.36,4.01
151,01/11/14,3.0,0.0,H,Arsenal,Burnley,1.28,6.21,13.23,1.25,6.64,13.94
152,01/11/14,0.0,0.0,D,Everton,Swansea,1.74,3.85,5.39,1.92,3.6,4.52
153,01/11/14,1.0,0.0,H,Newcastle,Liverpool,3.77,3.74,2.05,3.55,3.65,2.15
