,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA,H_LastOdds,A_LastOdds,H_LastFTG,A_LastFTG,H_MMR,A_MMR,H_3Points,A_3Points,H_9Points,A_9Points,H_17Points,A_17Points,H_3EVs,A_3EVs,H_5EVs,A_5EVs,H_9EVs,A_9EVs,H_1shock,A_1shock,H_3shock,A_3shock,H_7shock,A_7shock,H_winstreak,A_winstreak
115,2.0,0.0,H,West Ham,Bournemouth,1.59,4.12,6.53,1.62,4.08,6.12,1.62,6.12,0.0,0.0,22.76887029694487,22.708431413025586,4,4,11,10,11,13,9.57,8.190000000000001,13.24,17.34,25.310000000000002,48.15,0.43999999999999995,1.8599999999999999,5.98,-5.850000000000001,-0.56,-25.930000000000003,-1,-1
116,0.0,1.0,A,Leicester,Man City,9.62,5.93,1.32,7.75,5.2,1.42,7.75,1.42,0.0,0.0,21.737188440620812,30.668713623274225,7,6,10,20,11,26,7.040000000000001,3.26,10.0,6.040000000000001,27.86,9.14,-8.72,12.31,-8.97,14.600000000000001,-17.53,28.800000000000004,2,1
117,2.0,3.0,A,Bournemouth,Tottenham,5.41,3.85,1.72,5.18,3.79,1.75,5.18,1.75,0.0,0.0,21.845699977860516,28.717153777849454,1,3,10,16,13,23,9.86,4.8,15.610000000000003,10.579999999999998,47.01,16.43,1.2400000000000002,3.5700000000000003,-0.9300000000000002,5.430000000000001,-21.29,15.18,-2,-2
118,1.0,1.0,D,Brentford,Wolves,2.24,3.5,3.44,2.2,3.55,3.49,2.2,3.49,0.0,0.0,23.740793127291862,20.278396685172854,4,3,10,8,14,9,9.65,6.0600000000000005,15.27,15.1,24.799999999999997,28.419999999999998,4.32,8.72,-4.870000000000001,7.33,-1.6999999999999993,10.97,-1,-2
119,4.0,1.0,H,Brighton,Chelsea,3.17,3.43,2.41,3.17,3.37,2.44,3.17,2.44,0.0,0.0,23.2337777208645,28.534617110757047,1,5,11,17,15,21,14.68,4.119999999999999,22.11,7.44,30.07,11.78,-12.31,2.17,-6.2,1.9100000000000001,-5.889999999999999,13.38,-3,4
120,1.0,0.0,H,Crystal Palace,Southampton,1.96,3.62,4.22,2.08,3.47,3.94,2.08,3.94,0.0,0.0,23.0260090811049,23.93361414870655,4,5,12,8,13,12,6.27,10.94,12.19,32.32,33.69,45.51,4.62,-7.07,2.2900000000000005,-11.94,-1.1099999999999985,-6.0600000000000005,-1,1
121,4.0,0.0,H,Newcastle,Aston Villa,1.83,3.82,4.6,1.78,3.89,4.92,1.78,4.92,0.0,0.0,28.889049967107074,22.222208561295883,7,3,16,9,21,12,7.78,6.5200000000000005,11.979999999999999,9.610000000000001,25.14,26.490000000000002,-3.5700000000000003,-4.32,-7.94,3.91,-7.579999999999999,-7.610000000000003,4,1
122,0.0,0.0,D,Fulham,Everton,2.39,3.46,3.18,2.33,3.49,3.27,2.33,3.27,0.0,0.0,25.37972239632944,24.154847534596193,7,3,13,12,18,13,7.52,13.18,14.36,19.060000000000002,32.1,34.21,-5.329999999999999,-4.62,-9.439999999999998,-2.96,-13.830000000000002,-16.26,2,1
123,1.0,2.0,A,Liverpool,Leeds,1.32,5.98,9.43,1.23,7.5,12.0,1.23,12.0,0.0,0.0,25.93935780424009,19.82263937324804,6,0,14,5,16,9,5.61,7.119999999999999,7.7700000000000005,11.299999999999999,11.309999999999999,25.25,8.5,5.329999999999999,5.25,8.77,18.57,13.59,-1,-6
124,5.0,0.0,H,Arsenal,Nott'm Forest,1.2,7.4,16.85,1.22,7.25,13.5,1.22,13.5,0.0,0.0,32.355530796124214,20.04332823451537,7,4,22,5,28,9,4.76,21.049999999999997,8.6,27.589999999999996,14.73,61.7,1.48,-8.5,-0.6200000000000006,-16.27,4.309999999999999,-10.25,4,1
125,1.0,0.0,H,Man United,West Ham,1.71,4.05,5.14,1.73,3.97,5.12,1.73,5.12,0.0,0.0,30.45661300819375,23.727645466058586,5,4,20,14,20,14,6.130000000000001,9.56,13.920000000000002,13.260000000000002,25.55,25.330000000000002,-3.62,-1.2400000000000002,-4.4,1.7399999999999998,-23.140000000000004,1.4899999999999998,2,1
126,4.0,3.0,H,Leeds,Bournemouth,1.74,3.99,5.08,1.65,4.22,5.52,1.65,5.52,0.0,0.0,21.423047461644376,21.518910103533116,3,0,5,10,12,13,15.15,11.01,21.85,17.490000000000002,31.11,32.69,-21.77,-6.109999999999999,-13.7,-3.0099999999999993,-10.350000000000001,-21.869999999999997,1,-3
127,2.0,1.0,H,Man City,Fulham,1.13,10.33,22.62,1.18,8.5,16.0,1.18,16.0,0.0,0.0,30.9972278461115,25.22503923103678,6,7,22,14,29,19,3.55,7.869999999999999,6.109999999999999,13.739999999999998,10.09,26.93,-0.41999999999999993,2.33,14.700000000000001,-9.089999999999998,28.979999999999997,-7.340000000000002,2,2
128,2.0,2.0,D,Nott'm Forest,Brentford,2.83,3.43,2.66,2.7,3.24,2.92,2.7,2.92,0.0,0.0,19.908692188876856,23.352515356314722,4,2,5,10,9,15,29.53,7.500000000000001,36.34,15.2,68.1,24.919999999999998,1.0999999999999999,2.2,-15.930000000000001,2.0300000000000002,-14.68,1.2500000000000009,-1,-1
129,2.0,3.0,A,Wolves,Brighton,3.49,3.33,2.3,3.64,3.33,2.24,3.64,2.24,0.0,0.0,20.72101574496234,24.771551579385456,1,4,8,11,10,18,6.790000000000001,16.58,14.58,19.43,29.32,30.340000000000003,-3.49,-7.24,4.6,-18.14,8.620000000000001,-16.47,-2,1
130,0.0,2.0,A,Everton,Leicester,2.48,3.36,3.12,2.56,3.4,2.96,2.56,2.96,0.0,0.0,24.305641651660284,21.438629414968037,4,6,12,10,14,11,9.55,12.3,18.1,15.01,33.57,27.62,-3.27,0.41999999999999993,-7.23,-11.040000000000001,-11.73,-15.23,1,-1
131,0.0,1.0,A,Chelsea,Arsenal,2.72,3.5,2.71,2.71,3.48,2.69,2.71,2.69,0.0,0.0,27.047206489585793,32.54540940944063,2,7,17,22,21,31,3.4899999999999998,3.3999999999999995,7.09,7.97,12.67,14.48,7.24,-1.0999999999999999,11.29,-0.31999999999999984,12.870000000000001,-0.9600000000000004,-1,5
132,3.0,1.0,H,Aston Villa,Man United,3.38,3.63,2.22,3.18,3.57,2.34,3.18,2.34,0.0,0.0,21.845202697357795,30.849872230932075,3,7,9,20,12,23,7.470000000000001,6.780000000000001,11.47,9.95,29.29,22.63,3.12,-0.73,4.89,-7.210000000000001,4.8599999999999985,-22.620000000000005,-1,3
133,1.0,4.0,A,Southampton,Newcastle,4.22,3.71,1.93,4.49,3.8,1.85,4.49,1.85,0.0,0.0,22.996982272067637,29.20560329144064,4,9,8,18,12,24,11.87,6.8500000000000005,33.879999999999995,11.25,45.8,24.92,1.08,-3.12,-7.85,-7.3500000000000005,-6.119999999999999,-12.82,-1,5
134,1.0,2.0,A,West Ham,Crystal Palace,1.95,3.56,4.34,1.89,3.59,4.6,1.89,4.6,0.0,0.0,23.36010500266219,23.985131233411888,3,6,11,12,14,16,12.14,6.390000000000001,15.310000000000002,10.44,25.71,33.21,0.73,-1.08,-0.07000000000000028,4.17,5.280000000000001,-4.31,-1,1
135,1.0,2.0,A,Tottenham,Liverpool,3.33,3.76,2.19,3.59,3.89,2.05,3.59,2.05,0.0,0.0,29.130246009492833,24.48618374885732,3,3,16,14,26,16,5.05,2.0300000000000002,9.489999999999998,7.51,16.73,10.84,6.109999999999999,21.77,12.54,29.83,17.13,31.31,1,-2
136,1.0,2.0,A,Man City,Brentford,1.15,9.28,20.24,1.15,9.0,19.5,1.15,19.5,0.0,0.0,31.519600184021243,23.005917048356803,9,2,22,10,32,16,3.83,5.93,5.859999999999999,12.770000000000001,10.07,24.060000000000002,14.64,-2.92,26.53,3.6000000000000005,42.29,-4.22,3,-1
137,3.0,0.0,H,Bournemouth,Everton,2.94,3.32,2.63,2.88,3.26,2.73,2.88,2.73,0.0,0.0,20.743409687480277,23.31811629588094,0,4,9,11,13,14,13.82,6.370000000000001,18.56,17.009999999999998,34.81,32.64,-10.959999999999999,3.92,-15.829999999999998,-3.9700000000000006,-24.98,-5.860000000000001,-4,-1
138,3.0,1.0,H,Liverpool,Southampton,1.26,6.49,11.55,1.28,6.66,9.77,1.28,9.77,0.0,0.0,25.66819404919497,22.641011962897082,3,1,14,5,19,12,2.6399999999999997,12.5,7.89,17.369999999999997,11.739999999999998,44.07,0.4900000000000002,-0.08999999999999986,30.759999999999998,-6.08,30.4,-7.35,1,-2
139,1.0,0.0,H,Nott'm Forest,Crystal Palace,3.25,3.31,2.43,3.34,3.2,2.44,3.34,2.44,0.0,0.0,20.364038995102266,24.737274142091742,4,6,6,15,10,19,23.7,8.86,35.25,12.95,44.8,22.810000000000002,2.7,-6.31,-4.7,-2.7699999999999996,-13.3,-6.799999999999999,-1,2
140,4.0,3.0,H,Tottenham,Leeds,1.67,4.35,5.15,1.65,4.42,5.24,1.65,5.24,0.0,0.0,27.697792613389428,22.29009444400963,3,6,15,8,26,15,5.59,14.75,9.14,20.769999999999996,18.02,28.669999999999995,-0.4900000000000002,10.959999999999999,9.19,-5.480000000000002,9.24,-0.14000000000000234,-1,2
